#separator:Tab
#html:false
#deck:Arteterapie
#columns:Front	Back	Tags
#tags column:3
Co je arteterapie a co je na ní léčebně účinné?	Léčebné a podpůrné využití VÝTVARNÉHO projevu. Léčebně účinný je tvořivý PROCES a prožitek (vyjádření, komunikace, sebepoznání, změna), NE estetická kvalita výsledku — proto se dílo nehodnotí esteticky (zásada „proces > produkt“). — Zdroj: Šicková-Fabrici ⚠️ ověřit	pripad1 arteterapie definice
Jak se arteterapie dělí (3 hlediska) a co platí pro případ 1?	1) Podle aktivity: RECEPTIVNÍ (vnímání hotového díla) × PRODUKTIVNÍ/aktivní (vlastní tvorba). 2) Podle uspořádání: INDIVIDUÁLNÍ × SKUPINOVÁ. 3) Podle cíle: arteterapie (terapeutický cíl) × artefiletika (výchovně-vzdělávací). Případ 1 (středně těžká MR): produktivní, individuální i skupinová. — Zdroj: Šicková-Fabrici ⚠️ ověřit	pripad1 arteterapie deleni
Rozdíl arteterapie × artefiletika? (častá zkušební chyba)	ARTETERAPIE = terapie/podpora výtvarným projevem (terapeutický cíl). ARTEFILETIKA = výchovně-vzdělávací přístup spojující tvorbu, ZÁŽITEK a REFLEKTIVNÍ DIALOG nad dílem (Slavík). Ve stacionáři/škole spíš artefiletika, v terapii arteterapie — nezaměňovat. — Zdroj: Slavík ⚠️ ověřit	pripad1 artefiletika arteterapie-artefiletika
Případ 1 (středně těžká MR + vada řeči): proč právě arteterapie? (bio·psycho·sociál)	Nabízí NEVERBÁLNÍ kanál tam, kde selhává řeč. BIO: senzomotorika + náhradní kanál pro napětí místo okusování nehtů. PSYCHO: sebevyjádření bez slov, zážitek úspěchu proti apatii. SOCIÁL: vztah s terapeutem (citová jistota) a skupina. POZOR: arteterapie NELÉČÍ MR (vrozená porucha CNS) — je podpůrná a rozvojová. — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.78, 80–81, 83	pripad1 arteterapie indikace
Jak vést arteterapii u středně těžké MR (čím se vyznačuje)?	Proces > produkt (nehodnotit esteticky). SENZOMOTORICKÁ úroveň — dotek, stopa, barva místo abstraktního symbolu (uvažování ≈ předškolák). Krátká jasná zadání + STÁLÝ RITUÁL a opakování (potřeba stereotypu a jistoty). Nedirektivní doprovázení a dopomoc po krocích. Neverbální sdílení (obrázkové/AAK karty). — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️; klinicky Vágnerová STR.78, 82	pripad1 arteterapie principy-u-mr
Arteterapie u případu 1 — čeho se VYVAROVAT?	Nehodnotit dílo esteticky a nesrovnávat klienty mezi sebou. Nepřetěžovat (abstrakce, mnoho kroků najednou). Netlačit na verbální interpretaci ani na symboliku (respektovat vadu řeči a senzomotorickou úroveň). Často neměnit rituál, materiál ani terapeuta. Nezaměňovat arteterapii za „výtvarku“ (výkon a známkování). — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.80–81	pripad1 arteterapie chyby
Případ 1: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ (vlastní tvorba), individuální i SKUPINOVÁ, NEDIREKTIVNÍ, PROCES-orientovaná, STRUKTUROVANÁ s opakováním. Cíle: neverbální sebevyjádření, regulace napětí (místo okusování nehtů), zážitek úspěchu proti apatii, rozvoj jemné motoriky. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️; cíle klinicky Vágnerová STR.81, 83	pripad1 arteterapie volba-pristupu
Návrh: jak vypadá cyklus jednoho arteterapeutického sezení (u MR)?	1 Naladění (rituál) → 2 Haptická rozcvička → 3 Vlastní tvorba → 4 Neverbální sdílení → 5 Ocenění PROCESU (↺ stále stejné pořadí). Stejný rituál a sled, krátké kroky, jeden materiál; důraz na proces, ne na výsledek. — Zdroj: arte struktura Liebmann ⚠️; stálost klinicky Vágnerová STR.82–83	pripad1 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 1 (od jednoduchých po náročnější)?	Progrese: otisky/haptika → čmárání/volná stopa → jednoduchá malba → modelování → společná koláž. Otisky a prstové barvy = senzomotorika a uvolnění; čmárání = ventil napětí (místo okusování nehtů); modelování (hlína) = jemná motorika; společná koláž = příslušnost a sdílení ve skupině. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad1 arteterapie-technika techniky
Co je projekce v arteterapii a jak ji u MR interpretovat?	PROJEKCE = promítnutí vnitřního stavu a prožívání do díla; je základem arteterapeutické DIAGNOSTIKY. U středně těžké MR interpretovat ZDRŽENLIVĚ — nepřeceňovat symboliku, respektovat senzomotorickou úroveň a vadu řeči. — Zdroj: Šicková-Fabrici ⚠️ ověřit	pripad1 arteterapie-diagnostika projekce
