"Front","Back","Tags"
"Co je mentální retardace a kde je „hranice defektivity""?","Souhrnné označení VROZENÉHO defektu rozumových schopností (méně než 70 % normy), trvalého. Příčinou je porucha CNS. Hranice mentální defektivity = IQ 70 (průměr = IQ 100). V populaci ~3 %. — Zdroj: Vágnerová kap.10, STR.77, 79","pripad1 psychopedie definice"
"Stupně mentální retardace podle MKN-10 (kódy + pásma IQ)?","F70 lehká (50–69) · F71 středně těžká (35–49) · F72 těžká (20–34) · F73 hluboká (0–19). Staré názvy debilita/imbecilita/idiocie se už nepoužívají (pejorativní). — Zdroj: Vágnerová Tab.10.1, STR.78","pripad1 psychopedie klasifikace"
"Středně těžká MR (F71) — jaká je úroveň myšlení, řeči a učení?","Myšlení ≈ předškolní dítě. Řeč chudá, agramatická, špatně artikulovaná; chybí i méně běžné konkrétní pojmy. Učí se jen mechanicky na praktické úrovni. Zvládne běžné návyky a jednoduché dovednosti (sebeobsluha, pracovní úkony). — Zdroj: Vágnerová STR.78","pripad1 psychopedie stupen-f71"
"Klíčový rozdíl: mentální retardace × demence?","MR = VROZENÝ defekt rozumu od počátku vývoje, trvalý. Demence = ZÍSKANÝ úbytek dříve normálních rozumových schopností. (Záměna je častá zkušební chyba.) — Zdroj: Vágnerová STR.77","pripad1 psychopedie diferenciace"
"Hlavní příčiny vzniku mentální retardace?","1) Dědičné (Downův sy = trizomie 21; polygenní). 2) Teratogenní prenatální (záření, alkohol, léky, virus zarděnek). 3) Perinatální (asfyxie, krvácení do mozku). 4) Postnatální do 18 měsíců (později = získané). POZOR: pseudooligofrenie (ze zanedbanosti, bez narušení CNS) NENÍ MR. — Zdroj: Vágnerová STR.78","pripad1 psychopedie etiologie"
"Terapie MR — čeho se VYVAROVAT?","Nepřetěžovat (nadměrné/nesrozumitelné nároky = stres → afekty, sebepoškozování). Nevyžadovat abstrakci, rychlé reakce, časté změny úkolů ani flexibilitu. Nepoužívat ironii/metafory. Neměnit zbytečně prostředí, režim a pečující osoby. Nenechat dospělého bez vedení (jinak ztrácí dovednosti). — Zdroj: Vágnerová STR.79–81","pripad1 psychopedie terapie-vyvarovat-se"
"Terapie MR — na čem PRACOVAT?","Klidné, stabilní, srozumitelné prostředí + stereotyp a pravidelný režim. Citová jistota (vztah s blízkou osobou = motivace učení). Nácvik sebeobsluhy/soběstačnosti i v dospělosti. Přiměřené pracovní začlenění (uchovává kompetence + dává náplň). Pozitivní hodnocení/pochvala. Logopedie na vadu řeči. — Zdroj: Vágnerová STR.79–83","pripad1 psychopedie terapie-pracovat-na"
"Případ 1: jak vyložit okusování nehtů, sníženou sebeobsluhu a apatii?","Okusování nehtů = autostimulace / obranná reakce (uvolnění napětí, náhradní podněty), ne pouhý zlozvyk → reagovat úpravou zátěže a podnětů, ne tlakem. Apatie: bez činnosti a vedení MR dospělý „chátrá"" → přímou intervencí je přiměřená pracovní náplň (denní stacionář). — Zdroj: Vágnerová STR.79, 81, 83","pripad1 psychopedie kontext-pripadu"
"Případ 1: s kým / čím propojit (organizace, odborníci v ČR)?","SPC (speciálně-pedagogické centrum), denní stacionář, SPMP ČR, klinický logoped (vada řeči + AAK), chráněné dílny / podporované zaměstnávání, sociální odbor (příspěvek na péči). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad1 organizace propojeni"
"Co je Aspergerův syndrom a kam patří?","Pervazivní vývojová porucha (PAS, vysokofunkční). Disharmonický vývoj osobnosti s převažující ZÁVAŽNOU poruchou v oblasti sociálních vztahů. Na rozdíl od dětského autismu je inteligence a řeč zpravidla V NORMĚ. — Zdroj: Vágnerová kap.11.2, STR.87","pripad2 speciální pedagogika osob s PAS definice"
"Aspergerův syndrom v rámci spektra PAS — čím se liší od ostatních podtypů?","Je VYSOKOFUNKČNÍ: intelekt i řeč v normě (F84.5). Dětský autismus (F84.0) = plná triáda od raného věku, často + MR. Atypický autismus (F84.1) = neúplná kritéria. Hellerův sy = regres po normálním vývoji do 2 let. — Zdroj: Vágnerová STR.87","pripad2 speciální pedagogika osob s PAS typ-pas"
"Co je triáda PAS a jak se projevuje u Aspergera?","Triáda = porucha sociální interakce + komunikace + stereotypní/repetitivní chování a omezené zájmy. U Aspergera je jádrem porucha sociálních vztahů (sociální naivita, doslovnost, neporozumění ironii); řeč i intelekt zachovány. — Zdroj: Vágnerová STR.84–87; Thorová ⚠️","pripad2 speciální pedagogika osob s PAS projevy-triada"
"Jaké jsou příčiny PAS (a jaký mýtus u zkoušky vyvrátit)?","Vrozená neurovývojová porucha — ORGANICKÉ postižení mozku, převážně GENETICKÉ předurčení. Faktory vnějšího prostředí nehrají podstatnou roli. POZOR: teorie „chladné matky"" (Bettelheim) je VYVRÁCENÝ, překonaný mýtus! — Zdroj: Vágnerová STR.84","pripad2 speciální pedagogika osob s PAS etiologie"
"Aspergerův syndrom × dětský autismus × mentální retardace — jak odlišit?","Asperger: intelekt i řeč v normě, jádrem porucha sociálních vztahů. Dětský autismus: řeč nápadná/opožděná, často snížen intelekt, plná triáda od raného věku. MR: globální snížení rozumu (IQ<70), NE primárně sociální porucha. Vývojová dysfázie: narušena řeč, ale sociální interakce zachována. — Zdroj: Vágnerová STR.77, 85–87","pripad2 speciální pedagogika osob s PAS diferenciace"
"Terapie Aspergerova syndromu — čeho se VYVAROVAT?","Nesvádět poruchu na rodinu (mýtus chladné matky). Nepoužívat ironii, metafory, nepřímé pokyny (chápe doslovně). Neměnit náhle režim a pravidla (úzkost/afekt). Nepřetěžovat nestrukturovanými sociálními situacemi. Nepodceňovat intelekt — není mentálně retardovaný. — Zdroj: Vágnerová STR.84–87; Thorová ⚠️","pripad2 speciální pedagogika osob s PAS terapie-vyvarovat-se"
"Terapie Aspergerova syndromu — na čem PRACOVAT?","Nácvik sociálních dovedností (explicitní výuka nepsaných pravidel — intelekt to umožňuje). Strukturované, předvídatelné prostředí, vizualizace. Podpora v běžné ZŠ (asistent, IVP, prevence šikany). Využít úzké zájmy jako motivaci a most ke vztahům. Podpora neúplné rodiny. — Zdroj: Vágnerová STR.87; Thorová ⚠️","pripad2 speciální pedagogika osob s PAS terapie-pracovat-na"
"Případ 2: jak vyložit komplikovaný porod, opožděný psychomotorický vývoj a běžnou ZŠ?","Komplikovaný porod + opožděný psychomotorický vývoj = možný perinatální rizikový faktor na pozadí vrozené poruchy. Běžnou ZŠ zvládá, protože intelekt a řeč jsou v normě (vysokofunkční PAS) — potřebuje ale podporu v sociálních situacích a prevenci šikany. — Zdroj: Vágnerová STR.84, 87","pripad2 speciální pedagogika osob s PAS kontext-pripadu"
"Případ 2: s kým / čím propojit (organizace, odborníci v ČR)?","NAUTIS (dříve APLA) — diagnostika a nácvik sociálních dovedností. SPC pro PAS — IVP, asistent pedagoga v běžné ZŠ. Klinický psycholog / dětský psychiatr (komorbidní úzkost). Sociální odbor (podpora neúplné rodiny). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad2 organizace propojeni"
"Co je ADHD (syndrom hyperaktivity) a jaká je jeho příčina?","Porucha aktivační úrovně, často kombinovaná s poruchami pozornosti (ADHD = attention deficit hyperactivity disorder). Příčinou je nejčastěji odchylka funkce CNS; v ČR uváděna jako symptom LMD (lehké mozkové dysfunkce). Postihuje 5–10 % populace, převážně chlapce. NENÍ to porucha inteligence ani nevychovanost. — Zdroj: Vágnerová kap.7.2, STR.43","pripad3 hyperaktivita/ADHD definice"
"Tři jádrové složky ADHD?","1) HYPERAKTIVITA – nadměrné, neúčelné nutkání k pohybu, dítě ho neovládá (rušivost). 2) IMPULZIVITA – reakce bez rozmyšlení, neodhadne následky, nedovede počkat. 3) PORUCHA POZORNOSTI – slabé soustředění, „vázanost na podněty“ (Matějček), nesystematičnost. + hyperexcitabilita (emoční dráždivost, výkyvy). — Zdroj: Vágnerová STR.43–44","pripad3 hyperaktivita/ADHD klasifikace"
"Kdy se ADHD nejvíc projevuje a jak dlouho potíže trvají?","Projevuje se obyčejně už v předškolním věku, NEJNÁPADNĚJŠÍ bývá mezi 8.–10. rokem (přesně věk chlapce z případu 3). Na ADHD usuzujeme, pokud první potíže byly už v předškolním věku a přetrvávají déle než 6 měsíců. Potíže nemizí ani v dospělosti. — Zdroj: Vágnerová STR.43, 45","pripad3 hyperaktivita/ADHD projevy"
"Jak se ADHD projevuje ve škole?","90 % dětí s ADHD má problémy ve škole. Pracují povrchně, s chybami, úkol často nedokončí, výkon KOLÍSÁ (jednou úkol zvládne, podruhé bez důvodu nadělá chyby). Učitelé to mylně považují za nedostatek snahy a nevychovanost, ne za projev poruchy funkce CNS, kterou dítě neovládá. — Zdroj: Vágnerová STR.45","pripad3 hyperaktivita/ADHD projevy"
"Případ 3: jak vyložit zadrhávání v řeči a poruchu jemné motoriky?","Komorbidity ADHD na společném NEUROVÝVOJOVÉM základě. Koktavost (balbuties) = narušení plynulosti řeči (opakování/protahování hlásek, bloky), v napětí se zhoršuje – logopedie (Lechta). Porucha koordinace/jemné motoriky = dyspraxie („nešikovnost“, obtížné psaní/sebeobsluha) – ergoterapie, grafomotorika (Jucovičová/Žáčková). — Zdroj: Vágnerová STR.43 (rámec); Lechta, Jucovičová/Žáčková ⚠️","pripad3 logopedie kontext-pripadu"
